label,n_reco,n_particles,recoeffT,avg_recoeff,n_clones,clone_percentage,purityT,avg_purity,avg_hiteff,hit_eff_percentage,run_id,max_slopes,max_tolerance,scatter
long>5GeV,92,5100,1.803921568627451,1.803921568627451,0,0.0,77.69190652342827,79.16666666666667,35.22727272727273,50.80682327405472,654,"(np.float64(8.410146480204418), np.float64(1.9409215816184995))","(np.float64(7.022917451022831), np.float64(4.973556614943167))",7.025311721611469
long_fromb>5GeV,8,343,2.3323615160349855,2.3323615160349855,0,0.0,74.79395604395604,0.0,0.0,69.00203962703962,654,"(np.float64(8.410146480204418), np.float64(1.9409215816184995))","(np.float64(7.022917451022831), np.float64(4.973556614943167))",7.025311721611469
long,144,8076,1.7830609212481427,1.7830609212481425,1,0.6944444444444444,77.55934104209966,79.16666666666667,35.22727272727273,53.24398133982311,654,"(np.float64(8.410146480204418), np.float64(1.9409215816184995))","(np.float64(7.022917451022831), np.float64(4.973556614943167))",7.025311721611469
velo,756,28026,2.697495183044316,2.697495183044316,23,3.0423280423280423,79.69773558348653,79.84848484848483,51.76043653316381,67.02078127557625,654,"(np.float64(8.410146480204418), np.float64(1.9409215816184995))","(np.float64(7.022917451022831), np.float64(4.973556614943167))",7.025311721611469
long_fromb,10,444,2.2522522522522523,2.2522522522522523,0,0.0,74.97802197802199,0.0,0.0,65.4516317016317,654,"(np.float64(8.410146480204418), np.float64(1.9409215816184995))","(np.float64(7.022917451022831), np.float64(4.973556614943167))",7.025311721611469
long_strange,3,385,0.7792207792207793,0.7792207792207793,0,0.0,83.33333333333333,0.0,0.0,47.61904761904761,654,"(np.float64(8.410146480204418), np.float64(1.9409215816184995))","(np.float64(7.022917451022831), np.float64(4.973556614943167))",7.025311721611469
long_strange>5GeV,1,174,0.5747126436781609,0.5747126436781609,0,0.0,75.0,0.0,0.0,21.428571428571427,654,"(np.float64(8.410146480204418), np.float64(1.9409215816184995))","(np.float64(7.022917451022831), np.float64(4.973556614943167))",7.025311721611469
long_fromb>5GeV,2,343,0.5830903790087464,0.5830903790087464,0,0.0,73.21428571428572,0.0,0.0,68.75,655,"(np.float64(5.309300540388053), np.float64(1.956993002733648))","(np.float64(8.628477911437116), np.float64(6.967616458468318))",8.725813312905641
velo,418,28026,1.4914722043816455,1.4914722043816455,16,3.827751196172249,79.09059322653795,78.75000000000001,69.70238095238095,63.802630477711794,655,"(np.float64(5.309300540388053), np.float64(1.956993002733648))","(np.float64(8.628477911437116), np.float64(6.967616458468318))",8.725813312905641
long>5GeV,55,5100,1.0784313725490196,1.0784313725490196,1,1.8181818181818181,76.92447433518862,0.0,0.0,41.406280898140146,655,"(np.float64(5.309300540388053), np.float64(1.956993002733648))","(np.float64(8.628477911437116), np.float64(6.967616458468318))",8.725813312905641
long,78,8076,0.9658246656760773,0.9658246656760773,2,2.5641025641025643,77.36435786435786,0.0,0.0,42.9110253512827,655,"(np.float64(5.309300540388053), np.float64(1.956993002733648))","(np.float64(8.628477911437116), np.float64(6.967616458468318))",8.725813312905641
long_strange,4,385,1.0389610389610389,1.0389610389610389,0,0.0,82.5,0.0,0.0,52.23214285714286,655,"(np.float64(5.309300540388053), np.float64(1.956993002733648))","(np.float64(8.628477911437116), np.float64(6.967616458468318))",8.725813312905641
long_strange>5GeV,2,174,1.1494252873563218,1.1494252873563218,0,0.0,75.0,0.0,0.0,29.464285714285715,655,"(np.float64(5.309300540388053), np.float64(1.956993002733648))","(np.float64(8.628477911437116), np.float64(6.967616458468318))",8.725813312905641
long_fromb,3,444,0.6756756756756757,0.6756756756756757,0,0.0,73.05194805194805,0.0,0.0,66.34615384615385,655,"(np.float64(5.309300540388053), np.float64(1.956993002733648))","(np.float64(8.628477911437116), np.float64(6.967616458468318))",8.725813312905641
long_strange,2,385,0.5194805194805194,0.5194805194805194,0,0.0,87.5,0.0,0.0,60.71428571428571,656,"(np.float64(2.2730643817813867), np.float64(4.52809251775576))","(np.float64(9.113135328833705), np.float64(5.934335006963342))",6.797014034216733
long_fromb>5GeV,2,343,0.5830903790087464,0.5830903790087464,0,0.0,73.21428571428572,0.0,0.0,35.416666666666664,656,"(np.float64(2.2730643817813867), np.float64(4.52809251775576))","(np.float64(9.113135328833705), np.float64(5.934335006963342))",6.797014034216733
long>5GeV,64,5100,1.2549019607843137,1.2549019607843137,3,4.6875,78.04193319118693,0.0,0.0,42.48730673774572,656,"(np.float64(2.2730643817813867), np.float64(4.52809251775576))","(np.float64(9.113135328833705), np.float64(5.934335006963342))",6.797014034216733
long_strange>5GeV,1,174,0.5747126436781609,0.5747126436781609,0,0.0,75.0,0.0,0.0,21.428571428571427,656,"(np.float64(2.2730643817813867), np.float64(4.52809251775576))","(np.float64(9.113135328833705), np.float64(5.934335006963342))",6.797014034216733
