run_id,inference_time,total_tracks,total_ghosts,overall_ghost_rate,event_avg_ghost_rate,max_slopes,max_tolerance,scatter
30,{'sec': 7.350097179412842},50779,37167,73.19364304141476,66.29164095610057,"(np.float64(1.9086280457762455), np.float64(1.9086280457762455))","(np.float64(1.6393765458009057), np.float64(1.6393765458009057))",1.8554447284262747
31,{'sec': 7.890902042388916},45128,26583,58.90577911717781,52.01149851919151,"(np.float64(1.5523735508762155), np.float64(1.5523735508762155))","(np.float64(1.2781365611120181), np.float64(1.2781365611120181))",1.5055232277327901
32,{'sec': 7.3982253074646},48602,33230,68.37167194765648,61.35444164194732,"(np.float64(1.1723083911521885), np.float64(1.1723083911521885))","(np.float64(1.5072926223083236), np.float64(1.5072926223083236))",1.4289482653114531
33,{'sec': 8.192826271057129},47776,31605,66.15246148693905,59.16396869160033,"(np.float64(1.6912710648817282), np.float64(1.6912710648817282))","(np.float64(1.4419336724801224), np.float64(1.4419336724801224))",1.4576073114953036
34,{'sec': 7.783301115036011},46149,28521,61.80198920886693,54.835113217452644,"(np.float64(1.4779420285038851), np.float64(1.4779420285038851))","(np.float64(1.3417574050048233), np.float64(1.3417574050048233))",1.9877143478868855
35,{'sec': 6.7869250774383545},54737,44404,81.12245830060105,74.64818201935852,"(np.float64(1.8382128827431292), np.float64(1.8382128827431292))","(np.float64(1.935531873872348), np.float64(1.935531873872348))",1.9558481179040172
36,{'sec': 6.739898204803467},53237,41761,78.44356368690948,71.92175020121502,"(np.float64(1.1313204862868846), np.float64(1.1313204862868846))","(np.float64(1.8302766284578609), np.float64(1.8302766284578609))",1.780682380486056
37,{'sec': 7.637592077255249},48044,32054,66.71800849221547,59.727381450550446,"(np.float64(1.7645284631664242), np.float64(1.7645284631664242))","(np.float64(1.45909314287707), np.float64(1.45909314287707))",1.522433240562173
38,{'sec': 7.5315351486206055},48725,33398,68.54386865059004,61.51089315940762,"(np.float64(1.1401912266190193), np.float64(1.1401912266190193))","(np.float64(1.5151757888243027), np.float64(1.5151757888243027))",1.3192548007676606
39,{'sec': 7.088566064834595},51179,38046,74.33908439008187,67.45709968783406,"(np.float64(1.3150048104326406), np.float64(1.3150048104326406))","(np.float64(1.6736924413927674), np.float64(1.6736924413927674))",1.6509789972947346
40,{'sec': 8.27543306350708},47865,31768,66.36999895539539,59.39302444498407,"(np.float64(1.8858639823056023), np.float64(1.8858639823056023))","(np.float64(1.4503638174818838), np.float64(1.4503638174818838))",1.5406472709112473
41,{'sec': 8.435088872909546},47069,30204,64.16962331895728,57.274795513858756,"(np.float64(1.9726575217774034), np.float64(1.9726575217774034))","(np.float64(1.3990326456361546), np.float64(1.3990326456361546))",1.3645772221223793
42,{'sec': 8.46237301826477},41319,19666,47.5955371620804,41.535068913629964,"(np.float64(1.4770955677268278), np.float64(1.4770955677268278))","(np.float64(1.0558942108398242), np.float64(1.0558942108398242))",1.780626594170875
43,{'sec': 7.312908172607422},51525,38600,74.91508976225134,68.0231693778796,"(np.float64(1.3957311701457953), np.float64(1.3957311701457953))","(np.float64(1.6933377222024122), np.float64(1.6933377222024122))",1.7985610293651306
44,{'sec': 7.178050756454468},54584,44139,80.86435585519567,74.43402764661627,"(np.float64(1.9841122292091766), np.float64(1.9841122292091766))","(np.float64(1.9214719729450243), np.float64(1.9214719729450243))",1.3106117821416094
45,{'sec': 6.826843023300171},54939,44840,81.61779428092976,75.22650370914567,"(np.float64(1.4781908943386897), np.float64(1.4781908943386897))","(np.float64(1.9561562528252505), np.float64(1.9561562528252505))",1.4180080737120182
46,{'sec': 7.911217927932739},46460,29233,62.92079207920792,55.87516199555768,"(np.float64(1.194093785587262), np.float64(1.194093785587262))","(np.float64(1.3708968938212123), np.float64(1.3708968938212123))",1.5003406766194813
47,{'sec': 8.068636894226074},43145,22985,53.27384401437015,46.88114460798542,"(np.float64(1.8792249099295364), np.float64(1.8792249099295364))","(np.float64(1.1662869517143348), np.float64(1.1662869517143348))",1.9693896557387034
48,{'sec': 7.3454790115356445},50471,36777,72.86758732737611,65.92059302568903,"(np.float64(1.2093919047205879), np.float64(1.2093919047205879))","(np.float64(1.6313426658826524), np.float64(1.6313426658826524))",1.4875443429422321
49,{'sec': 7.493046760559082},47173,30479,64.61111228880928,57.66017695912801,"(np.float64(1.197264032025493), np.float64(1.197264032025493))","(np.float64(1.4130387332453445), np.float64(1.4130387332453445))",1.8603814559884504
50,{'sec': 7.147592782974243},50541,36769,72.75083595496726,65.81493808761248,"(np.float64(1.778599692583556), np.float64(1.778599692583556))","(np.float64(1.6236576208986693), np.float64(1.6236576208986693))",1.1929800430707336
51,{'sec': 6.939835071563721},53500,42286,79.0392523364486,72.53883455007964,"(np.float64(1.2720929524135052), np.float64(1.2720929524135052))","(np.float64(1.8496724882925584), np.float64(1.8496724882925584))",1.801965037785492
52,{'sec': 7.891465187072754},45439,27196,59.851669270890646,52.97313583726173,"(np.float64(1.5268697877768957), np.float64(1.5268697877768957))","(np.float64(1.2953947769629046), np.float64(1.2953947769629046))",1.740801813184707
53,{'sec': 7.989465951919556},44934,26296,58.521386923042684,51.667427200311465,"(np.float64(1.2288445071240552), np.float64(1.2288445071240552))","(np.float64(1.2706785950280013), np.float64(1.2706785950280013))",1.2845251951279903
54,{'sec': 8.11354112625122},41215,19500,47.31287152735654,41.275924233425435,"(np.float64(1.265133468384212), np.float64(1.265133468384212))","(np.float64(1.0513417860256098), np.float64(1.0513417860256098))",1.93962046822617
55,{'sec': 7.204970121383667},48404,32810,67.78365424345095,60.77328923959708,"(np.float64(1.139314965985536), np.float64(1.139314965985536))","(np.float64(1.4905649953287456), np.float64(1.4905649953287456))",1.0378212260386033
56,{'sec': 7.263067007064819},52674,40770,77.40061510422599,70.63251509337249,"(np.float64(1.4765285307305804), np.float64(1.4765285307305804))","(np.float64(1.7771192761763612), np.float64(1.7771192761763612))",1.7977072417126851
57,{'sec': 7.388925075531006},49629,35024,70.57164158052751,63.56449416998344,"(np.float64(1.6542439556376927), np.float64(1.6542439556376927))","(np.float64(1.559404581221045), np.float64(1.559404581221045))",1.936030703612872
58,{'sec': 8.01448130607605},43254,23248,53.74763027696861,47.26660795687571,"(np.float64(1.535105984467449), np.float64(1.535105984467449))","(np.float64(1.173721928717245), np.float64(1.173721928717245))",1.1810266874697108
59,{'sec': 7.775241851806641},54516,44155,80.99457040135006,74.50576103727266,"(np.float64(1.1789882807386536), np.float64(1.1789882807386536))","(np.float64(1.9284314964276383), np.float64(1.9284314964276383))",1.3684189093129546
60,{'sec': 7.323705196380615},49710,35171,70.7523637095152,63.777869706818024,"(np.float64(1.4959420923061861), np.float64(1.4959420923061861))","(np.float64(1.5702737256762047), np.float64(1.5702737256762047))",1.426877948366033
61,{'sec': 7.417336940765381},49787,35403,71.10892401630947,64.15438002067417,"(np.float64(1.470017657147131), np.float64(1.470017657147131))","(np.float64(1.579125742441778), np.float64(1.579125742441778))",1.8502978712731668
62,{'sec': 6.868358850479126},52766,40947,77.60110677330098,70.90353999414042,"(np.float64(1.0428112584521214), np.float64(1.0428112584521214))","(np.float64(1.799398155989267), np.float64(1.799398155989267))",1.343676773009585
63,{'sec': 7.263416051864624},51466,38484,74.77557999455952,67.88415019256301,"(np.float64(1.7154450824707093), np.float64(1.7154450824707093))","(np.float64(1.690774839169141), np.float64(1.690774839169141))",1.379135502676042
64,{'sec': 7.645735740661621},48622,33230,68.34354818806301,61.33004815096347,"(np.float64(1.3226885730364608), np.float64(1.3226885730364608))","(np.float64(1.5049107237560564), np.float64(1.5049107237560564))",1.046470637158324
65,{'sec': 8.064048051834106},40988,19074,46.53557138674734,40.64095232168922,"(np.float64(1.4250184359763574), np.float64(1.4250184359763574))","(np.float64(1.0387217523513506), np.float64(1.0387217523513506))",1.2938059664670125
66,{'sec': 8.178389072418213},45475,27214,59.843870258383724,52.93899121701725,"(np.float64(1.9661349540236919), np.float64(1.9661349540236919))","(np.float64(1.2929574048881356), np.float64(1.2929574048881356))",1.9876197327401863
67,{'sec': 7.170735120773315},50561,36824,72.83083799766618,65.89753946133062,"(np.float64(1.8538429451192677), np.float64(1.8538429451192677))","(np.float64(1.6261137084241897), np.float64(1.6261137084241897))",1.2899854879325767
68,{'sec': 7.179533004760742},50942,37555,73.7210945781477,66.84069507368253,"(np.float64(1.4379403716994155), np.float64(1.4379403716994155))","(np.float64(1.655828070995967), np.float64(1.655828070995967))",1.7387710908351295
69,{'sec': 7.046979904174805},52955,41202,77.80568407138136,71.09436459896983,"(np.float64(1.535114991516911), np.float64(1.535114991516911))","(np.float64(1.7988707546902836), np.float64(1.7988707546902836))",1.1558356711618227
70,{'sec': 8.126527070999146},49037,33918,69.16817913004466,62.16011557950137,"(np.float64(1.5213680228728403), np.float64(1.5213680228728403))","(np.float64(1.523968211026818), np.float64(1.523968211026818))",1.0013277490278287
71,{'sec': 7.976174831390381},44349,25239,56.909964148007845,50.17155583703185,"(np.float64(1.8172464390199004), np.float64(1.8172464390199004))","(np.float64(1.2398803935310831), np.float64(1.2398803935310831))",1.1581085934844755
